"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 61 44 6.7 8.3 6.5 13 "8.3" 18.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 63 42 6.7 8.3 7 13 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 62 44 7 9 6.3 12.7 "8" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 64 45 7 9 6.3 13.5 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 63 42.5 7 8.5 6.5 12.7 "8" 19.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 64 42 6.5 8.5 7 12 "7.5" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 62.5 41 6.5 8.3 6.5 13 "8" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 126 62 45 7 8.5 7 14 "9" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 66 40 7.5 9.5 6.5 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 64 38.5 7 9 7 13 "9" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 116 64 43 7 8 7 13.5 "8.3" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 113 64 41 7 9 6.5 13 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 64 39 8 10 7 13 "8.5" 17.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 61 41 6.5 9 5.3 13 "8.7" 19.7 NA
